品目	標準原価
P0A336706	43.08
P0A336707	1190
P0A340202	5424
P0A340601	3512
P0A340605	3052
P0A340800	12749
P0A344900	9047
P0A347010	12181
P0A347011	11833
P0A347012	11127
P0A347014	11773
P0A347015	11773
P0A348100	2651
P0A348300	1568
P0A348301	2422
P0A357124	59690
P0A357126	65818
P0A357128	53687
P0A357501	1228
P0A357502	2843
P0A358001	2739
P0A358002	1547
P0A358400	5515
P0A359400	2252
P0A360011	15589
P0A360200	13253
P0A360201	15695
P0A360500	10656
P0A360901	37829
P0A360902	31279
P0A361300	11355
P0A361303	6736
P0A361700	3246
P0A365902	2449
P0A367100	28671
P0A367101	27804
P0A367300	4906
P0A367500	12701
P0A367501	8262
P0A367502	8467
P0A367600	2200
P0A368402	44351
P0A375001	3203
P0A375002	2497
P0A380500	5712
P0A381201	7202
P0A381202	7488
P0A381203	3667
P0A381301	7079
P0A381400	11537
P0A382701	1197
P0A327500	34420
P0A327601	10702
P0A327902	13267
P0A327903	6903
P0A327906	7039
P0A328100	3236
P0A328400	667
P0A328900	23207
P0A328901	29882
P0A335100	5390
P0A335202	4304
P0A336206	2583
P0A336600	1069
P0A336602	1539
P0A336603	1244
P0A336607	1333
P0A336700	496
P0A336701	1190
P0A340802	12771
P0A340901	5945
P0A342300	2064
P0A342400	1481
P0A342900	10170
P0A342903	11780
P0A342905	9596
P0A343300	3873
P0A344825	34858
P0A351000	13819
P0A351200	2505
P0A353001	2816
P0A354000	14098
P0A354500	977
P0A354800	2293
P0A357100	57836
P0A357111	61978
P0A357113	16706
P0A360000	12322
P0A360003	11785
P0A360004	20777
P0A360005	19480
P0A360006	17920
P0A360007	19209
P0A360008	19266
P0A360009	4918
P0A360010	11354
P0A363900	27438
P0A364800	19679
P0A364802	15122
P0A365100	12208
P0A365102	8950
P0A365107	6493
P0A365800	1258
P0A365900	2774
P0A365901	2517
P0A369100	10862
P0A369801	12099
P0A369900	2987
P0A370200	7418
P0A372700	4522
P0A372701	1455
P0A373600	8081
P0A374602	1203
P0A375000	2848
P0A382800	11331
P0A383000	25804
P0A383001	34248
P0A384700	1967
P0A384800	7115
P0A387000	9631
P0A387100	4792
P0A387200	17582
P0A387500	60496
P0A387514	60658
P0A387900	8521
P0A388500	1277
P0A389900	11494
P0A390000	9656
P0A392700	2680
P0A392704	2680
P0A392705	13269
P0A392708	2679
P0A397213	61016
P0A397221	9098
P0A397300	33190
P0A397304	34175
P0A397307	33106
P0A397308	11890
P0A399900	4900
P0A400500	8364
P0A400700	5264
P0A416000	11706
P0A419000	4982
P0A420300	15303
P0A421500	8756
P0A421503	8756
P0A421505	8811
P0A421509	9005
P0A421520	8614
P0A421522	7267
P0A433621	10388
P0A433622	10388
P0A433625	8767
P0A433626	15394
P0A433627	17280
P0A434100	1901
P0A434101	3144
P0A434900	2609
P0A435000	29107
P0A435612	13481
P0A435617	11095
P0A435621	11503
P0A435622	10713
P0A435625	12006
P0A435626	12006
P0A435627	10384
P0A435630	12789
P0A435631	10384
P0A436005	8560
P0A436007	3027
P0A436012	11366
P0A436013	6162
P0A437300	63828
P0A437301	63828
P0A437302	63828
P0A437303	63828
P0A437304	21762
P0A444600	34507
P0A445401	94500
P0A445500	3099
P0A445600	5508
P0A445700	16989
P0A445800	28804
P0A445805	54773
P0A445900	8563
P0A446000	9000
P0A447309	35045
P0A447701	1260
P0A447800	3465
P0A448100	11320
P0A448102	13775
P0A449201	39066
P0A449300	25322
P0A449302	6242
P0A449303	25286
P0A392709	2680
P0A392712	2670
P0A392713	2674
P0A396906	38686
P0A396907	38689
P0A397201	57801
P0A397202	14133
P0A397203	13074
P0A397206	57811
P0A400900	4816
P0A400901	2946
P0A402800	14166
P0A402900	7467
P0A403500	2468
P0A403800	5470
P0A406300	5605
P0A406500	9376
P0A406501	13430
P0A422000	4604
P0A422100	11221
P0A433500	6255
P0A433600	11519
P0A433611	10928
P0A433613	5243.1
P0A433615	10432
P0A433616	9261.368
P0A433617	10735
P0A435100	21696
P0A435600	12006
P0A435601	14596
P0A435602	11986
P0A435603	12001
P0A435605	13465
P0A435606	13900
P0A435607	12006
P0A435611	12006
P0A435636	11100
P0A435638	13481
P0A435640	12001
P0A435648	10384
P0A435651	10399
P0A436001	3410
P0A436002	10702
P0A436003	2872
P0A436004	3181
P0A439300	12472
P0A440701	20209
P0A440703	20203
P0A440712	20195
P0A440800	1689
P0A440900	50742
P0A441001	3939
P0A441900	15751
P0A442000	1295
P0A446100	6919
P0A446101	9193
P0A446102	6909
P0A446800	16303
P0A447100	6020
P0A447300	25408
P0A447303	36136
P0A447306	35559
P0A447308	20663
P0A449305	27220
P0A449306	24824
P0A449315	25123
P0A449400	1992
P0A449401	334
P0A449405	2348
P0A451302	42683
P0A451306	36714
P0A451700	3730
P0A452001	10070
P0A452002	9492
P0A452006	7763
P0A452100	4744
P0A452108	2066
P0A452201	2574
P0A452203	8101
P0A452207	4331
P0A452208	8464
P0A453100	6487
P0A453102	8284
P0A453600	3103
P0A453602	2833
P0A453604	3879
P0A453606	2928
P0A453610	2857
P0A453620	6160
P0A454000	34284
P0A455603	5195
P0A455700	1364
P0A456000	7719
P0A456600	850
P0A458100	12547
P0A458300	1156
P0A459000	7039
P0A459001	7276
P0A459300	12128
P0A460513	4432
P0A460515	15159
P0A460520	12553
P0A460528	12562
P0A460530	2804
P0A460532	13153
P0A460535	12637
P0A460536	12548
P0A460539	9336
P0A460611	10543
P0A460612	10037
P0A460900	3524
P0A461000	1785
P0A461001	1632
P0A461002	2329
P0A461100	12862
P0A461300	26907
P0A461400	20215
P0A462106	3083
P0A462300	2971
P0A462301	4741
P0A462600	2833
P0A463400	540
P0A463600	5431
P0A464000	2533
P0A464501	24603
P0A464601	35662
P0A464813	9510
P0A464814	6445
P0A464815	9047
P0A464816	9386
P0A464817	9570
P0A464818	6074
P0A464820	6103
P0A464821	9384
P0A464822	9433
P0A464840	9761
P0A464841	9936
P0A464842	9243
P0A464843	10429
P0A464845	9046
P0A464847	9166
P0A464849	6099
P0A452403	18134
P0A452500	8681
P0A452600	3415
P0A452603	3020
P0A452606	2736
P0A453000	9607
P0A453003	9604
P0A453005	6501
P0A453006	6773
P0A454001	38429
P0A454300	4977
P0A454800	11778
P0A454900	8979
P0A454907	4706
P0A454911	4708
P0A455002	4325
P0A455202	3664
P0A455600	5199
P0A460500	10710
P0A460501	12624
P0A460502	12558
P0A460503	12554
P0A460504	4419
P0A460505	12817
P0A460506	12712
P0A460507	12624
P0A460511	4427
P0A460512	12463
P0A460541	12650
P0A460543	12808
P0A460548	12549
P0A460549	12813
P0A460550	12531
P0A460600	10498
P0A460601	10193
P0A460605	10535
P0A460610	10514
P0A461500	1944
P0A461600	2608
P0A461601	2893
P0A461603	2893
P0A461800	4356
P0A461802	4356
P0A461900	5226
P0A462002	9567
P0A462100	9200
P0A464800	7772
P0A464803	8144
P0A464804	9151
P0A464805	9301
P0A464806	7209
P0A464808	9161
P0A464809	7775
P0A464811	8935
P0A464812	9176
P0A464823	9063
P0A464824	8960
P0A464825	9984
P0A464826	8902
P0A464827	8874
P0A464832	9047
P0A464833	9774
P0A464836	8885
P0A464837	9455
P0A464856	9268
P0A464859	10247
P0A464861	9389
P0A464862	10429
P0A464863	8944
P0A464864	8960
P0A464868	10025
P0A464874	10298
P0A464875	9304
P0A464886	9279
P0A464889	10414
P0A464891	9398
P0A464897	9175
P0A464899	9435
P0A4648A4	9360
P0A4648A7	9288
P0A4648B3	9250
P0A4648B6	8959
P0A466111	17056
P0A466118	12540
P0A466119	14433
P0A466123	17306
P0A466124	16287
P0A466125	16069
P0A466126	14861
P0A466127	14909
P0A466128	12678
P0A467801	11747
P0A468400	3807
P0A468407	3807
P0A468412	3806
P0A469500	3019
P0A469900	22087
P0A469901	22091
P0A469902	19827
P0A470000	2436
P0A471400	8063
P0A471402	13091
P0A471500	2046
P0A471501	2057
P0A471502	2241
P0A471600	3596
P0A472000	8856
P0A472001	8894
P0A472301	4158
P0A474000	1563
P0A474002	3293
P0A474101	1923
P0A474102	3908
P0A474103	3093
P0A474104	1330
P0A474105	1328
P0A474300	1081
P0A474600	23674
P0A477200	6953
P0A477800	2508
P0A477801	2054
P0A477805	1751
P0A478000	1350
P0A478001	1103
P0A478002	1109
P0A478003	759
P0A478006	775
P0A480003	1423
P0A480005	999
P0A480400	2576
P0A480401	1255
P0A480500	13628
P0A480801	14579
P0A480802	20849
P0A481100	4016
P0A481102	2366
P0A483706	22219
P0A483806	23476
P0A483811	8316.63
P0A483900	2535
P0A483921	2850
P0A483925	2541
P0A483926	7375
P0A483927	2536
P0A484004	2607
P0A465000	8927
P0A465202	2453
P0A466100	17144
P0A466103	17435
P0A466104	15250
P0A466105	18435
P0A466107	17033
P0A466109	11517
P0A466110	15765
P0A466900	10905
P0A467401	10986
P0A467402	10983
P0A467403	23325
P0A467404	23325
P0A467406	24985
P0A467407	24996
P0A467500	9906
P0A467800	11454
P0A470300	11650
P0A470800	13239
P0A470802	9676
P0A470803	12675
P0A471100	1657
P0A471103	1688
P0A471300	14588
P0A471302	14588
P0A471305	5576
P0A472700	12958
P0A472701	14895
P0A472702	7141
P0A472703	14235
P0A473100	45463
P0A473600	6744
P0A473603	6744
P0A473800	8466
P0A473900	6967
P0A474601	25648
P0A474701	9113
P0A474706	3079
P0A475900	17435
P0A476000	16310
P0A476100	4114
P0A476101	4086
P0A476400	456
P0A476600	2314
P0A478600	11495
P0A478601	10855
P0A478602	11159
P0A478603	10404
P0A479201	22072
P0A479400	3952
P0A479401	4812.067
P0A480000	1489
P0A480001	1221
P0A481300	25229
P0A481900	3451
P0A481901	2048.506
P0A481902	2215
P0A481911	2044.886
P0A481914	3657
P0A483000	20809
P0A483100	1413
P0A483703	13960
P0A484007	5112
P0A484008	4414
P0A486600	4619
P0A487300	4405
P0A487400	1477
P0A487401	1201
P0A487500	1077
P0A487501	1220
P0A487502	859
P0A487600	3967
P0A487601	3338
P0A487800	1072
P0A487801	889
P0A487900	2628
P0A488100	10435
P0A488600	10043
P0A488700	6019
P0A488800	31944
P0A491404	8944.539
P0A491504	864.96
P0A491602	2307.84
P0A491700	5592
P0A491706	824.31
P0A491711	5215
P0A491712	3191
P0A491714	5523
P0A491900	5288
P0A494300	3731
P0A494304	4678
P0A494305	4653
P0A494401	1892
P0A494402	1892
P0A495700	2060
P0A496000	3440
P0A496001	3439
P0A496101	6730.835
P0A498403	2258.105
P0A498404	3670
P0A498405	4168
P0A498500	6215
P0A498505	5946
P0A498601	5604.24
P0A498701	2748.244
P0A499300	1747
P0A499400	69296
P0A502200	2300
P0A503802	1130.88
P0A504000	4172
P0A504106	5861
P0A504700	3625
P0A504701	3375
P0A505000	435
P0A505001	798
P0A505100	33686
P0A506301	20813
P0A506302	19456
P0A506500	25538
P0A506502	26096
P0A506600	9146
P0A507200	17745
P0A507204	27430
P0A507206	20989
P0A507400	7242
P0A507615	127146
P0A507700	24154
P0A507701	18933
P0A507703	17948
P0A508100	3884
P0A508103	6833
P0A508104	4716
P0A508105	4276
P0A508201	911.536
P0A510800	15416
P0A510900	9733
P0A511000	11475
P0A511200	13163
P0A511700	21041
P0A511702	11359.36
P0A511900	1153
P0A511901	813
P0A512000	2786
P0A488802	39499
P0A488807	33576
P0A489000	3543
P0A489800	7826
P0A490100	10914
P0A490200	8356
P0A490901	5807
P0A490903	4136
P0A491200	1324
P0A492010	672.11
P0A494000	3759
P0A494206	2721
P0A494207	2673
P0A494208	2707
P0A494209	6891
P0A494211	2675
P0A494214	2704
P0A494215	2727
P0A496103	5472.36
P0A496104	9715.257
P0A496301	5472.36
P0A496801	1098
P0A497701	6187.276
P0A498001	2746.69
P0A498100	6088
P0A498301	4554.95
P0A498401	1241.4
P0A499401	70333
P0A499402	70335
P0A500600	15749
P0A501100	11330
P0A501201	251.827
P0A501206	673.25
P0A501209	1630
P0A501300	5210
P0A501501	217.53
P0A505101	69207
P0A505109	72495
P0A505111	72322
P0A505117	31407
P0A506000	6156
P0A506001	3888
P0A506202	19304
P0A506203	10948.415
P0A506300	19533
P0A507401	6977
P0A507402	6977
P0A507403	7242
P0A507405	5574
P0A507406	5947
P0A507500	113063
P0A507521	68251
P0A507528	104312
P0A507600	133683
P0A508301	1327.69
P0A508400	8418
P0A508401	8702
P0A508406	7275
P0A508407	8564
P0A508600	1337
P0A508701	1267
P0A509200	46730
P0A510700	21629
P0A512100	6286
P0A512200	1919
P0A512201	2303
P0A512202	2848
P0A512203	2200
P0A512400	1561
P0A512401	2005
P0A512602	25109
P0A512603	34579
P0A512604	34579
P0A512800	6024
P0A512801	6862
P0A512802	4995
P0A512803	7452
P0A512804	5756
P0A512806	5272
P0A512807	6861
P0A512809	7447
P0A514701	2048
P0A515001	99300
P0A515701	7826.155
P0A515705	8421.616
P0A515712	9339
P0A516000	1140
P0A516104	3677
P0A516106	4118
P0A516500	3302
P0A520802	15852
P0A523602	8831.26
P0A523603	10011
P0A524601	372.33
P0A524700	1864
P0A525001	1872
P0A525205	2919
P0A525401	1881
P0A525405	1773
P0A530100	22311
P0A530102	24851
P0A530200	47854
P0A530600	2038
P0A530715	4417
P0A530718	11330
P0A530719	11342
P0A530721	11336
P0A530800	45863
P0A532010	24877
P0A532011	24855
P0A532012	25029
P0A532013	24886
P0A532014	14129
P0A532015	14129
P0A532400	22005
P0A532405	26938.753
P0A532504	2765
P0A533902	12326
P0A533903	24515
P0A534000	24850
P0A534003	19336
P0A534100	20187
P0A535804	629
P0A535900	6133
P0A536700	28213
P0A536701	20754
P0A537703	18352
P0A537704	8642
P0A537802	4111
P0A537805	4312
P0A537806	4111
P0A537807	3983
P0A538300	2006
P0A538301	2224
P0A538400	1976
P0A539406	3100
P0A540501	32391
P0A540700	3588
P0A540701	3661
P0A540702	2129
P0A542700	26173
P0A542701	20311
P0A542704	26413
P0A543200	7981
P0A512812	6857
P0A512900	5164
P0A513102	2540
P0A513200	1180
P0A513201	723.73
P0A513202	1320
P0A513500	790
P0A514201	9108.63
P0A514700	1060
P0A517400	7472
P0A517900	20252
P0A517913	29313
P0A518000	11513
P0A518002	21269
P0A518400	3565
P0A519700	7687
P0A519803	2234
P0A520600	4259
P0A525406	1590.247
P0A525600	1824
P0A526100	7909
P0A526104	14529
P0A527000	13608
P0A527001	5614
P0A527500	2806
P0A527800	4283
P0A527900	925
P0A531600	47649
P0A532000	25447
P0A532001	11237
P0A532002	11371
P0A532003	11362
P0A532006	25482
P0A532007	14156
P0A532008	23537
P0A532009	24087
P0A532513	2656
P0A532515	2857
P0A532516	2797
P0A532517	2771
P0A532519	2732
P0A532520	2738
P0A533100	7848
P0A533200	3820
P0A533900	24803
P0A536703	17153
P0A536800	22353
P0A537200	18594
P0A537300	29692
P0A537400	11021
P0A537403	9667
P0A537404	10103
P0A537600	84027
P0A537700	8928
P0A538600	60297
P0A538601	57695
P0A538604	54969
P0A539200	4168
P0A539300	20338
P0A539303	10906.88
P0A539304	16834.268
P0A539400	3092
P0A539404	3069.179
P0A543300	10589
P0A543400	7602
P0A543500	6098
P0A543600	7379
P0A543601	8694
P0A544000	111326
P0A544001	122652
P0A544300	16506
P0A544400	16964
P0A544401	28900
P0A544802	10800
P0A544803	5013.452
P0A544815	4977.883
P0A544822	7914
P0A544900	4440
P0A544901	2694.21
P0A544907	4565
P0A545000	3996
P0A546606	16551
P0A546607	8898.537
P0A546609	8852.92
P0A546700	7664
P0A546701	1713.53
P0A547700	8078
P0A547701	2482.05
P0A547900	2491
P0A547901	885.512
P0A549900	2935
P0A549901	663.18
P0A549903	2446
P0A550101	9340
P0A550200	740
P0A550201	1282
P0A550600	1011
P0A551000	4159
P0A551002	4284
P0A552500	33185
P0A552501	32305
P0A552504	32306
P0A552505	32303
P0A552506	32307
P0A552507	32307
P0A552600	21092
P0A552700	7619
P0A552706	3358
P0A552729	6694
P0A552800	1243
P0A553607	28437
P0A553700	19351
P0A553800	19510
P0A553900	30341
P0A554000	23264
P0A554100	5558
P0A554200	2322
P0A554905	8173.338
P0A554907	8189.033
P0A554918	13707
P0A555000	3330
P0A555001	1096.65
